id,sentences,personality,tone,special_words
351,The scientific data indicates a new species of marine life.,2,1,"scientific, marine life, species"
352,"Geez, this fog is so thick! I can't see the road.",7,8,"fog, road, see"
353,I am writing to request a refund for the faulty electronic device.,1,2,"refund, electronic device, faulty"
354,"Man, that game was a rollercoaster! We almost lost but pulled through at the end.",8,9,"rollercoaster, pulled through, end, game"
355,I am disgusted by your unethical behavior and corrupt practices within the company.,9,4,"unethical behavior, corrupt practices, company"
356,Please provide a detailed report on the customer satisfaction survey results.,3,2,"report, customer satisfaction, survey results"
357,"Whoa, that acrobatic performance was incredible! I'm still trying to wrap my head around it.",9,10,"acrobatic performance, incredible, wrap my head around"
358,I am writing to acknowledge your request for information and will provide it as soon as possible.,1,2,"request, information, possible, acknowledge"
359,"Hey, I'm heading to the bookstore. Need any recommendations for new books?",6,9,"bookstore, recommendations, books, hey"
360,Your constant complaining is making me lose my sanity and patience.,9,3,"complaining, sanity, patience, lose"
361,The environmental impact assessment revealed significant ecological damage to the local ecosystem.,2,1,"environmental impact, ecological damage, ecosystem"
362,"Shoot, I forgot my wallet at home!",7,8,"wallet, home, shoot"
363,I am writing to request a full refund for the faulty product I recently purchased.,1,2,"refund, product, purchased, faulty"
364,"Bro, that movie was a masterpiece! The visuals were absolutely breathtaking and stunning.",8,9,"masterpiece, visuals, breathtaking, stunning, bro"
365,I am appalled by your lack of professionalism and respect for my time and effort.,9,4,"professionalism, respect, time, effort, appalled"
366,Please provide a detailed financial forecast for the next financial quarter and fiscal year.,3,2,"financial forecast, quarter, fiscal year, detailed"
367,"Yikes, that avalanche was terrifying! I'm so glad we made it out safe and sound.",9,10,"avalanche, terrifying, safe, sound, yikes"
368,I am writing to acknowledge your subscription and will send you the access details shortly.,1,2,"subscription, access details, shortly, acknowledge"
369,"Yo, I'm grabbing some dessert. Any preferences or special requests?",6,9,"dessert, preferences, requests, yo"
370,Your constant interruptions are making it impossible to concentrate on my important task.,9,3,"interruptions, important task, concentrate"
371,The scientific experiment revealed a new element and its unique properties.,2,1,"scientific experiment, new element, unique properties"
372,"Ugh, this humidity is unbearable! I'm melting like a popsicle in the sun.",7,8,"humidity, unbearable, melting, popsicle, sun, ugh"
373,I am writing to formally request a meeting to discuss the proposed changes to the contract.,1,2,"request, proposed changes, contract, meeting"
