subject,body,label
Special Offer Just for You,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Special Offer Just for You,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Meeting Scheduled,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Order Has Shipped,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
New Policy Updates,Important updates regarding our new policies. Please review them carefully.,not event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Flight Confirmation,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Networking Event Invitation,This is a reminder for your dentist appointment scheduled next week.,not event
New Policy Updates,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Reminder: Appointment,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Reminder: Appointment,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Special Offer Just for You,Important updates regarding our new policies. Please review them carefully.,not event
Workshop Registration,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Special Offer Just for You,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Upcoming Tech Conference,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,This is a reminder for your dentist appointment scheduled next week.,not event
Exclusive Music Festival Invite,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Special Offer Just for You,Your recent order has been shipped and will arrive in 5-7 business days.,not event
New Policy Updates,Your subscription to our premium service is about to expire. Renew now.,not event
Reminder: Appointment,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Meeting Scheduled,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Holiday Discount Codes,This is a reminder for your dentist appointment scheduled next week.,not event
Flight Confirmation,Your subscription to our premium service is about to expire. Renew now.,not event
Exclusive Music Festival Invite,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Exclusive Music Festival Invite,Important updates regarding our new policies. Please review them carefully.,not event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Order Has Shipped,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Special Offer Just for You,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Bill is Due Soon,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Workshop Registration,This is a reminder for your dentist appointment scheduled next week.,not event
Flight Confirmation,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Meeting Scheduled,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Charity Event Details,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Your Subscription is Expiring,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Networking Event Invitation,Your subscription to our premium service is about to expire. Renew now.,not event
Flight Confirmation,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Order Has Shipped,Your subscription to our premium service is about to expire. Renew now.,not event
Reminder: Appointment,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Webinar on AI Trends,This is a reminder for your dentist appointment scheduled next week.,not event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Order Has Shipped,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,Important updates regarding our new policies. Please review them carefully.,not event
Reminder: Appointment,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Subscription is Expiring,Important updates regarding our new policies. Please review them carefully.,not event
Networking Event Invitation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Workshop Registration,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Reminder: Appointment,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
