,sentence,sentence_annotation,intent,action,scenario,labels
462,should i wear a jacket today,should i wear a [weather_descriptor : jacket] [date : today],weather_query,query,weather,70
463,please remind me one hour before the meeting i have tomorrow morning,please remind me [time : one hour] before the [event_name : meeting] i have [date : tomorrow] [timeofday : morning],calendar_set,set,calendar,8
464,what is the weather condition today,what is the weather condition [date : today],weather_query,query,weather,70
465,recent advice concerning google seo,recent advice concerning google seo,general_quirky,quirky,general,21
466,set an alarm for five o'clock this evening labelled taxi,set an alarm for [time : five] o'clock this [timeofday : evening] labelled [event_name : taxi],alarm_set,set,alarm,2
467,are eggs on my shopping list,are eggs on my [list_name : shopping] list,lists_query,query,lists,36
468,i have an appointment tomorrow remind me,i have an [event_name : appointment] [date : tomorrow] remind me,calendar_set,set,calendar,8
469,post pic on my phone on facebook alexa,post pic on my [device_type : phone] on [media_type : facebook] alexa,social_post,post,social,62
470,how much for a train ticket,how much for a [transport_type : train] ticket,transport_query,query,transport,66
471,what alarms do i have set right now,what alarms do i have set right now,alarm_query,query,alarm,0
472,olly what bars are around me,olly what [business_type : bars] are around me,recommendation_locations,locations,recommendation,59
473,contact amazon customer service via twitter,contact [business_name : amazon customer service] via [media_type : twitter],social_post,post,social,62
474,what news updates are there from news express,what news updates are there from [media_type : news express],news_query,query,news,43
475,lets play tic tac toe,Lets play [game_name : tic tac toe],play_game,game,play,45
476,do i have anywhere to be between eight am and five pm today,do i have anywhere to be between [time : eight am] and [time : five pm] [date : today],calendar_query,query,calendar,6
477,how many contacts do i have in my phone book,how many contacts do i have in my [device_type : phone book],email_querycontact,querycontact,email,16
478,none,none,qa_factoid,factoid,qa,53
479,explain,explain,qa_definition,definition,qa,52
480,please play the radio,please play the radio,play_radio,radio,play,48
481,what person produced the song that is on the radio,what person produced the song that is on the radio,music_query,query,music,41
482,start radio,start radio,play_radio,radio,play,48
483,is it sunny in gonbad now,is it [weather_descriptor : sunny] in [place_name : gonbad] now,weather_query,query,weather,70
484,back one episode,back one episode,play_podcasts,podcasts,play,47
485,send a tweet to dominoes about bad delivery,send a [media_type : tweet] to [business_name : dominoes] about bad delivery,social_post,post,social,62
486,please make a tweet to dell company about the faulty service of laptop,please make a [media_type : tweet] to [business_name : dell company] about the faulty service of laptop,social_post,post,social,62
487,hey alexa turn on disco lights in my apartment and let the party begin,hey alexa turn on [device_type : disco lights] in my [house_place : apartment] and let the party begin,iot_hue_lighton,hue_lighton,iot,30
488,how is the traffic in mg road,how is the traffic in [place_name : mg road],transport_traffic,traffic,transport,69
489,recipes,recipes,cooking_recipe,recipe,cooking,11
490,remind me on fifth april there is a meeting with boss,remind me on [date : fifth april] there is a [event_name : meeting] with [relation : boss],calendar_set,set,calendar,8
491,cancel,cancel,calendar_remove,remove,calendar,7
492,please give me details of allen from my contact,please give me [personal_info : details] of [person : allen] from my contact,email_querycontact,querycontact,email,16
493,find easy recipe for almond milk,find easy recipe for [drink_type : almond milk],cooking_recipe,recipe,cooking,11
494,do i need to take an umbrella with me this afternoon,do i need to take an [weather_descriptor : umbrella] with me [timeofday : this afternoon],weather_query,query,weather,70
495,play pop,play [music_genre : pop],music,music,play,38
496,let me know the morning of my doctor appointment on the twelfth,let me know the [timeofday : morning] of my [event_name : doctor appointment] on the [date : twelfth],calendar_set,set,calendar,8
497,please turn the lights off in the bathroom,please turn the lights off in the [house_place : bathroom],iot_hue_lightoff,hue_lightoff,iot,29
498,can you suggest me a healthy foods for dinner,can you suggest me a [food_type : healthy foods] for dinner,cooking_recipe,recipe,cooking,11
499,can you bright the lights please,can you bright the lights please,iot_hue_lightup,hue_lightup,iot,31
500,send complaint through twitter consumer service,send complaint through twitter [business_name : consumer service],social_post,post,social,62
501,i went to walmart today,i went to [place_name : walmart] [date : today],general_quirky,quirky,general,21
502,call person a for meeting,call person a for [event_name : meeting],calendar_set,set,calendar,8
503,when is my next meeting,when is my next [event_name : meeting],calendar_query,query,calendar,6
504,olly put on be warned by tech n9ne,olly put on [song_name : be warned] by [artist_name : tech n9ne],music,music,play,38
505,tell me all the events between today and the twenty first,tell me all the events between [date : today] and the [date : twenty first],calendar_query,query,calendar,6
506,don't forget to remind me of my brother's birthday on april twenty,don't forget to remind me of my [relation : brother's] [event_name : birthday] on [date : april twenty],calendar_set,set,calendar,8
507,what is john's last name,what is [person : john's] [personal_info : last name],email_querycontact,querycontact,email,16
508,please put to my calendar daily standup to ten am,please put to my calendar [general_frequency : daily] [event_name : standup] to [time : ten am],calendar_set,set,calendar,8
509,when does twenty fourth come in the next week,when does [date : twenty fourth] come in the [date : next week],datetime_query,query,datetime,13
510,locate my podcast,locate my podcast,play_podcasts,podcasts,play,47
511,when is my next reminder,when is my next reminder,calendar_query,query,calendar,6
512,did ben and jen get back together,did [person : ben] and [person : jen] get back together,news_query,query,news,43
513,should i wear a jacket to work,should i wear a [weather_descriptor : jacket] to work,weather_query,query,weather,70
514,what is new in politics today can you filter out trump news though,what is new in [news_topic : politics] [date : today] can you filter out [person : trump] news though,news_query,query,news,43
515,tell me what is on my schedule for today,tell me what is on my schedule for [date : today],calendar_query,query,calendar,6
516,what new movies are played in cinemas this week,what new movies are played in cinemas [date : this week],recommendation_movies,movies,recommendation,60
517,whats the day today,whats the day [date : today],datetime_query,query,datetime,13
518,email george brown,email [person : george brown],email_sendemail,sendemail,email,17
519,activate robot vacuum,activate [device_type : robot vacuum],iot_cleaning,cleaning,iot,25
520,what the sexiest food to cook on a date,what the [food_type : sexiest] food to cook on a date,cooking_recipe,recipe,cooking,11
521,play the station one hundred and two point four the buzz,play the station [radio_name : one hundred and two point four] the buzz,play_radio,radio,play,48
522,mute the speaker please,mute the speaker please,audio_volume_mute,volume_mute,audio,4
523,erase my old english songs list,erase my [list_name : old english] songs list,lists_remove,remove,lists,37
524,show current news from bbc,show current news from [media_type : bbc],news_query,query,news,43
525,show me a list of places where my relatives have been based on their photos,show me a list of places where my [relation : relatives] have been based on their photos,social_query,query,social,63
526,play the circle,play [audiobook_name : the circle],play_audiobook,audiobook,play,44
527,be sure to remind me of this,be sure to remind me of this,calendar_set,set,calendar,8
528,remove finlee's bedtime alarm,remove [person : finlee's] bedtime alarm,alarm_remove,remove,alarm,1
529,the following question asks you to analyze teacher goals and actions intended,the following question asks you to analyze teacher goals and actions intended,qa_factoid,factoid,qa,53
530,is it still going to be windy on thursday,is it still going to be [weather_descriptor : windy] on [date : thursday],weather_query,query,weather,70
531,can you please let me know the next four scheduled trains to chicago,can you please let me know the next four scheduled trains to [place_name : chicago],transport_query,query,transport,66
532,i need a reminder every single day at nine am,i need a reminder [general_frequency : every single day] at [time : nine am],calendar_set,set,calendar,8
533,describe a potato,describe a [definition_word : potato],qa_definition,definition,qa,52
534,can you erase the past event i visited,can you erase the past event i visited,calendar_remove,remove,calendar,7
535,what does the list contain,what does the list contain,lists_query,query,lists,36
536,turn on the tv socket when i arrive home,turn on the [device_type : tv] socket when i arrive home,iot_wemo_on,wemo_on,iot,33
537,read back what i put on my to do list for this week,read back what i put on my to do list for [date : this week],lists_query,query,lists,36
538,give me details of my twitter handle profile including the total number of followers,give me details of my [media_type : twitter] handle profile including the total number of followers,social_query,query,social,63
539,hey olly please set a reminder for tomorrow morning ten am meeting,hey olly please set a reminder for [date : tomorrow] [timeofday : morning] [time : ten am] [event_name : meeting],calendar_set,set,calendar,8
540,should i dress in layers today,should i dress in [weather_descriptor : layers] [date : today],weather_query,query,weather,70
541,is the time different in moscow,is the time different in [place_name : moscow],datetime_query,query,datetime,13
542,does peking garden deliver,does [business_name : peking garden] [order_type : deliver],takeaway_query,query,takeaway,65
543,will it be nice at the beach on friday,will it be [weather_descriptor : nice] at the [place_name : beach] on [date : friday],weather_query,query,weather,70
544,please cancel the next event on the calendar,please cancel the next event on the calendar,calendar_remove,remove,calendar,7
545,set reminder for meeting at three pm tomorrow,set reminder for [event_name : meeting] at [time : three pm] [date : tomorrow],calendar_set,set,calendar,8
546,light up,light up,iot_hue_lightup,hue_lightup,iot,31
547,shoutcast dot com,[radio_name : shoutcast dot com],play_radio,radio,play,48
548,do i have any calendar events today,do i have any calendar events [date : today],calendar_query,query,calendar,6
549,what is the definition of inchoate,what is the definition of [definition_word : inchoate],qa_definition,definition,qa,52
550,what's it like outside,what's it like outside,weather_query,query,weather,70
551,facebook status busy day,[media_type : facebook] status busy day,social_post,post,social,62
552,when did beyonce and jay z get married,when did [person : beyonce] and [person : jay z] get married,qa_factoid,factoid,qa,53
553,searching on holidays in my location,searching on [event_name : holidays] in my location,recommendation_events,events,recommendation,58
554,please tell me the pending reminders,please tell me the pending reminders,calendar_query,query,calendar,6
555,the weather is sunny today,the weather is sunny [date : today],general_quirky,quirky,general,21
556,hey what are my lists,hey what are my lists,lists_query,query,lists,36
557,show me new email,show me new email,email_query,query,email,15
558,tell me the weather for this week,tell me the weather for [date : this week],weather_query,query,weather,70
559,brighten lights,brighten lights,iot_hue_lightup,hue_lightup,iot,31
560,what is trump's approval rating,what is [person : trump's] approval rating,qa_factoid,factoid,qa,53
561,set the volume to low,set the volume [change_amount : to low],audio_volume_down,volume_down,audio,3
562,play from this point from this audiobook,play from this point from this [media_type : audiobook],play_audiobook,audiobook,play,44
563,breeds of dog that are most hypoallergenic,breeds of dog that are most hypoallergenic,general_quirky,quirky,general,21
564,please order one train ticket to los angeles,please order one [transport_type : train] ticket to [place_name : los angeles],transport_ticket,ticket,transport,68
565,play thinking out loud next,play [song_name : thinking out loud] next,play_music,music,play,46
566,make a list for work,make a list for work,lists_createoradd,createoradd,lists,35
567,by tomorrow create a new list,by [date : tomorrow] create a new list,lists_createoradd,createoradd,lists,35
568,what is the headline from chicago tribune,what is the headline from [media_type : chicago tribune],news_query,query,news,43
569,remind me of the meeting on the twenty second of january,remind me of the [event_name : meeting] on [date : the twenty second of january],calendar_set,set,calendar,8
570,how many meetings do i have next week,how many meetings do i have [date : next week],calendar_query,query,calendar,6
571,start play recently added playlist,start play recently added playlist,play_music,music,play,46
572,night time,night time,general_quirky,quirky,general,21
573,play party songs,play [music_descriptor : party songs],play_music,music,play,46
574,play some david bowie,play some [artist_name : david bowie],play_music,music,play,46
575,tell me something about america,tell me something about [place_name : america],general_quirky,quirky,general,21
576,update on april the giraffe,update on [date : april] the [news_topic : giraffe],news_query,query,news,43
577,fashion,fashion,general_quirky,quirky,general,21
578,how about a nice game of chess,how about a nice game of [game_name : chess],play_game,game,play,45
579,turn the lights off please,turn the lights off please,hue_lightoff,hue_lightoff,iot,23
580,what is the current temperature,what is the current [weather_descriptor : temperature],weather_query,query,weather,70
581,what are the list of events in my calendar in march,what are the list of events in my calendar in [date : march],calendar_query,query,calendar,6
582,space research,space research,general_quirky,quirky,general,21
583,show me the recipe for cookies,show me the recipe for [food_type : cookies],cooking_recipe,recipe,cooking,11
584,check emails for unread emails from mom,check emails for unread emails from [relation : mom],email_query,query,email,15
585,how big is england,how big is [place_name : england],qa_factoid,factoid,qa,53
586,will it rain tomorrow in miami,will it [weather_descriptor : rain] [date : tomorrow] in [place_name : miami],weather_query,query,weather,70
587,where is the convention center located,where is the [place_name : convention center] located,qa_factoid,factoid,qa,53
588,can you start fm eight hundred and ninety radio channel,can you start [radio_name : fm eight hundred and ninety] radio channel,play_radio,radio,play,48
589,please turn the volume to the loudest setting,please turn the volume to the [change_amount : loudest] setting,audio_volume_up,volume_up,audio,5
590,list all the nearby shops,list all the nearby [business_type : shops],recommendation_locations,locations,recommendation,59
591,hey olly order a pizza pie with extra cheese,hey olly order a [food_type : pizza pie with extra cheese],takeaway_order,order,takeaway,64
592,change light colors from blue to white,change light colors from [color_type : blue] to [color_type : white],iot_hue_lightchange,hue_lightchange,iot,27
593,at what age michael phelps got married,at what age [person : michael phelps] got married,qa_factoid,factoid,qa,53
594,what is the latest from my feed,what is the latest from my feed,social_query,query,social,63
595,read out my shopping list for today,read out my [list_name : shopping] list for [date : today],lists_query,query,lists,36
596,if you could talk about three things what would they be,if you could talk about three things what would they be,general_quirky,quirky,general,21
597,will it be over ninety degrees tomorrow,will it be [weather_descriptor : over ninety] degrees [date : tomorrow],weather_query,query,weather,70
598,that song was awesome can you repeat,that song was awesome can you repeat,music_likeness,likeness,music,40
599,turn off the smart plug,turn off the [device_type : smart plug],iot_wemo_off,wemo_off,iot,32
600,i want to send email to jack@gmail dot com,i want to send email to [email_address : jack@gmail dot com],email_sendemail,sendemail,email,17
601,cancel my meeting with lisa on tuesday and reschedule it for thursday,cancel my [event_name : meeting] with [person : lisa] on [date : tuesday] and reschedule it for [date : thursday],calendar_set,set,calendar,8
602,which is the smallest island in the world,which is the smallest island in the [place_name : world],qa_factoid,factoid,qa,53
603,add milk to my grocery list,add milk to my [list_name : grocery] list,lists_createoradd,createoradd,lists,35
604,i want to hear this podcast,i want to hear this podcast,play_podcasts,podcasts,play,47
605,tell me current time,tell me current time,datetime_query,query,datetime,13
606,tell me about the solar powered garden stakes,tell me about the [definition_word : solar powered garden stakes],qa_definition,definition,qa,52
607,please set my alarm,please set my alarm,alarm_set,set,alarm,2
608,play a country station,play a [radio_name : country station],play_radio,radio,play,48
609,how much is indian rupee going against us dollar,how much is [currency_name : indian rupee] going against [currency_name : us dollar],qa_currency,currency,qa,51
610,set a timer for five minutes for cookies,set a timer for [time : five minutes] for [event_name : cookies],calendar_set,set,calendar,8
611,what's up,What's up,general_quirky,quirky,general,21
612,describe the current state of politics,describe the current state of politics,qa_factoid,factoid,qa,53
613,please tell me some international news,please tell me some [place_name : international] news,news_query,query,news,43
614,what is the current stock rate of facebook,what is the current stock rate of [business_name : facebook],qa_stock,stock,qa,55
615,find my thai takeaways around grass market,find my [food_type : thai] [order_type : takeaways] around [place_name : grassmarket],takeaway_query,query,takeaway,65
616,play news in fm,play news in [radio_name : fm],play_radio,radio,play,48
617,please shut off,please shut off,audio_volume_mute,volume_mute,audio,4
618,play a race game,Play a [game_type : race] game,play_game,game,play,45
619,i'd like to hear queen's barcelona,i'd like to hear [artist_name : queen's] [song_name : barcelona],play_music,music,play,46
620,wipe calendar clean,wipe calendar clean,calendar_remove,remove,calendar,7
621,please tell me to take my umbrella because it will be very hot today,please tell me to [event_name : take my umbrella] because it will be very hot [date : today],calendar_set,set,calendar,8
622,what is the exchange rate for philippine pesos,what is the exchange rate for [currency_name : philippine pesos],qa_currency,currency,qa,51
623,is the meeting scheduled for tomorrow,is the [event_name : meeting] scheduled for [date : tomorrow],calendar_query,query,calendar,6
624,play something romantic,play something [music_genre : romantic],play_music,music,play,46
625,is this the hottest day in mangalore,is this the hottest day in [place_name : mangalore],weather_query,query,weather,70
626,play my favorite station at nine pm,play my favorite station at [time : nine pm],play_radio,radio,play,48
627,please remove the parent teacher conference scheduled on march seven,please remove the [event_name : parent teacher conference] scheduled on [date : march seven],calendar_remove,remove,calendar,7
628,tell me about new york,tell me about [place_name : new york],qa_factoid,factoid,qa,53
629,today needs to be marked as my cheat day,[date : today] needs to be marked as [event_name : my cheat day],calendar_set,set,calendar,8
630,what does potato mean,what does [definition_word : potato] mean,qa_definition,definition,qa,52
631,how was your day,how was your day,general_quirky,quirky,general,21
632,play the newest album by jay z,play the newest album by [artist_name : jay z],play_music,music,play,46
633,book me a plane ticket,book me a plane ticket,transport_ticket,ticket,transport,68
634,olly turn the volume up,olly turn the volume up,audio_volume_up,volume_up,audio,5
635,ok google schedule a meeting with the vp of the department on the twenty first of march two thousand and seventeen,ok google schedule a [event_name : meeting] with [relation : the vp of the department] on [date : the twenty first of march two thousand and seventeen],calendar_set,set,calendar,8
636,make a repeating reminder for my work tasks every day at eight am,make a repeating reminder for my work tasks [general_frequency : every day] at [time : eight am],calendar_set,set,calendar,8
637,is pink recording a new album,is pink recording a new album,qa_factoid,factoid,qa,53
638,what are the lyrics to the song i will always love you by dolly parton,what are the lyrics to the song [song_name : i will always love you] by [artist_name : Dolly parton],music_query,query,music,41
639,delete the wedding on the tenth from my calendar,delete the [event_name : wedding] on the [date : tenth] from my calendar,calendar_remove,remove,calendar,7
640,is it possible for you to provide the likes of my music,is it possible for you to provide the likes of my music,music_query,query,music,41
641,how many miles in five kilometers,how many miles in five kilometers,qa_maths,maths,qa,54
642,tell me my alarms,tell me my alarms,alarm_query,query,alarm,0
643,let me know the time,let me know the time,datetime_query,query,datetime,13
644,what time is the evening meeting i have with john,what time is the [event_name : evening meeting] i have with [person : john],calendar_query,query,calendar,6
645,shuffle the current album of songs,[player_setting : shuffle] the current album of songs,music_settings,settings,music,42
646,what is the nearest theatre that plays the new vin diesel movie,what is the nearest theatre that plays the new [movie_name : vin diesel] movie,recommendation_movies,movies,recommendation,60
647,alexa turn off the fan in the master bedroom,alexa turn off the [device_type : fan] in the [house_place : master bedroom],iot_wemo_off,wemo_off,iot,32
648,send an email to my friend say birthday wishes,send an email to my [relation : friend] say [event_name : birthday] wishes,email_sendemail,sendemail,email,17
649,what mail do i have,what mail do i have,email_query,query,email,15
650,cancel the milk from the shopping list,cancel the milk from the [list_name : shopping] list,lists_remove,remove,lists,37
651,what day does april sixteenth fall on,what day does [date : april sixteenth] fall on,datetime_query,query,datetime,13
652,tell me the traffic condition from here to home,tell me the traffic condition from here to [place_name : home],transport_traffic,traffic,transport,69
653,set the living room lights to red,set the [house_place : living room] lights to [color_type : red],iot_hue_lightchange,hue_lightchange,iot,27
654,turn on the wemo plug socket,turn on the [device_type : wemo plug socket],iot_wemo_on,wemo_on,iot,33
655,brighten lights in living room,brighten lights in [house_place : living room],iot_hue_lightup,hue_lightup,iot,31
656,did you add tomorrow's meeting to my calendar,did you add [date : tomorrow's] [event_name : meeting] to my calendar,calendar_query,query,calendar,6
657,how do i make cookies,how do i make [food_type : cookies],cooking_recipe,recipe,cooking,11
658,if it is a consumer good then what is the customer feedback,if it is a consumer good then what is the customer feedback,general_quirky,quirky,general,21
659,what day was it on my birth date,what day was it on [date : my birth date],datetime_query,query,datetime,13
660,can you continue audiobook the circle,can you [player_setting : continue] [media_type : audiobook] [audiobook_name : the circle],play_audiobook,audiobook,play,44
661,turn off my bedside lamp please,turn off my [device_type : bedside lamp] please,iot_hue_lightoff,hue_lightoff,iot,29
662,favourite,favourite,play_podcasts,podcasts,play,47
663,what will be the weather update for monday noon,what will be the weather update for [date : monday] [timeofday : noon],weather_query,query,weather,70
664,i need the stock price for amazon,i need the stock price for [business_name : amazon],qa_stock,stock,qa,55
665,make the lights in the house red,make the lights in the [house_place : house] [color_type : red],iot_hue_lightchange,hue_lightchange,iot,27
666,i want to post a status on twitter,i want to post a status on [media_type : twitter],social_post,post,social,62
667,proceed to the next episode,proceed to the [podcast_descriptor : next episode],play_podcasts,podcasts,play,47
668,how old is christie brinkley,how old is [person : christie brinkley],qa_factoid,factoid,qa,53
669,what does my morning look like tomorrow,what does my [timeofday : morning] look like [date : tomorrow],calendar_query,query,calendar,6
670,what events are going on in new york city,what events are going on in [place_name : new york city],recommendation_events,events,recommendation,58
671,how many people live in san francisco,how many people live in [place_name : san francisco],qa_factoid,factoid,qa,53
672,ok google play rock music,ok google play [music_genre : rock] music,music,music,play,38
673,tweet complaint to burger king,[media_type : tweet] complaint to [business_name : burger king],social_post,post,social,62
674,turn off the closet light,turn off the closet light,iot_hue_lightoff,hue_lightoff,iot,29
675,what is the current time in new york,what is the current time in [place_name : new york],datetime_query,query,datetime,13
676,can you lie,can you lie,general_quirky,quirky,general,21
677,try out in wikipedia,try out in wikipedia,qa_definition,definition,qa,52
678,is my golf game going to get rained out,is my golf game going to get [weather_descriptor : rained] out,weather_query,query,weather,70
679,can you forward an episode in the podcast,can you [player_setting : forward] an episode in the podcast,play_podcasts,podcasts,play,47
680,what is the date of next saturday,what is the date of next [date : saturday],datetime_query,query,datetime,13
681,mute the settings,mute the settings,audio_volume_mute,volume_mute,audio,4
682,let national grid know the power is out again,let [business_name : national grid] know the power is out again,social_post,post,social,62
683,favorite this music,favorite this music,music_likeness,likeness,music,40
684,tell a joke,tell a joke,general_joke,joke,general,20
685,create a meeting with friend,create a [event_name : meeting] with [relation : friend],calendar_set,set,calendar,8
686,open the internet,open the internet,takeaway_order,order,takeaway,64
687,what's a description of a virtual reality headset,what's a description of a [definition_word : virtual reality headset],qa_definition,definition,qa,52
688,how you know me,how you know me,general_quirky,quirky,general,21
689,is it raining outside,is it [weather_descriptor : raining] outside,query,query,weather,56
690,send email to boss to meet for performance review,send email to [relation : boss] to meet for performance review,email_sendemail,sendemail,email,17
691,what is the weather in sydney now,what is the weather in [place_name : sydney] now,weather_query,query,weather,70
692,please describe an elephant to me,please describe an [definition_word : elephant] to me,qa_definition,definition,qa,52
693,day on twenty second april,day on [date : twenty second april],datetime_query,query,datetime,13
694,what is the weather in los angeles,what is the weather in [place_name : los angeles],weather_query,query,weather,70
695,add lunch meetings at noon every day this week,add [meal_type : lunch] [event_name : meetings] at [timeofday : noon] [general_frequency : every day] [date : this week],calendar_set,set,calendar,8
696,give me the idea of current traffic condition,give me the idea of current traffic condition,transport_traffic,traffic,transport,69
697,i need a taxi to take me to the airport please,i need a [transport_type : taxi] to take me to the [place_name : airport] please,transport_taxi,taxi,transport,67
698,tell me what lists i have,tell me what lists i have,lists_query,query,lists,36
699,cooking,cooking,cooking_query,query,cooking,10
700,i need two pizzas stat,i need two [food_type : pizzas stat],takeaway_order,order,takeaway,64
701,get the cleaning on,get the cleaning on,iot_cleaning,cleaning,iot,25
702,play my country playlist,play my [music_genre : country] playlist,play_music,music,play,46
703,play famosa radio for me,play [radio_name : famosa] radio for me,play_radio,radio,play,48
704,best bar in local area,best [business_type : bar] in local area,recommendation_locations,locations,recommendation,59
705,i would like my to write original romantic messages for my wife,i would like my to write original romantic messages for my [relation : wife],general_quirky,quirky,general,21
706,send a response to my last email,send a response to my last email,email_sendemail,sendemail,email,17
707,set event on recurring,set event on recurring,calendar_set,set,calendar,8
708,show all the received emails recently with time stamp,show all the received emails recently with time stamp,email_query,query,email,15
709,start email,start email,email_sendemail,sendemail,email,17
710,do i need a jacket today,do i need a [weather_descriptor : jacket] [date : today],weather_query,query,weather,70
711,start podcast mlb daily,start podcast [podcast_name : mlb daily],play_podcasts,podcasts,play,47
712,can you recommend a cheap restaurant in this area,can you recommend a cheap [business_type : restaurant] in this area,recommendation_locations,locations,recommendation,59
713,send a hi to,send a hi to,email_sendemail,sendemail,email,17
714,start vacuum cleaner now,start [device_type : vacuum cleaner] now,iot_cleaning,cleaning,iot,25
715,where should i go for mexican food in my area,where should i go for [food_type : mexican] food in my area,recommendation_locations,locations,recommendation,59
716,open harrypotter audiobook and play from last played,open [audiobook_name : harrypotter] [media_type : audiobook] and play from last played,play_audiobook,audiobook,play,44
717,can you speak louder,can you speak louder,audio_volume_up,volume_up,audio,5
718,please play rap,please play [music_genre : rap],play_music,music,play,46
719,do i have any appointments today,do i have any [event_name : appointments] [date : today],query,query,calendar,56
720,give me the newest new york times,give me the newest [media_type : new york times],news_query,query,news,43
721,exchange rate i will get with foreign currency,exchange rate i will get with foreign currency,qa_currency,currency,qa,51
722,olly how's it hangin,olly how's it hangin,general_quirky,quirky,general,21
723,switch to eastern time zone,switch to [time_zone : eastern] time zone,datetime_convert,convert,datetime,12
724,how many meetings do i have this week,how many [event_name : meetings] do i have [date : this week],calendar_query,query,calendar,6
725,what do i need to know about the show,what do i need to know about the show,calendar_query,query,calendar,6
726,give me information on the song that's playing,give me information on the song that's playing,music_query,query,music,41
727,olly pinpoint me the location of the shop,olly pinpoint me the location of the shop,recommendation_locations,locations,recommendation,59
728,are there dog shows going on near new york city,are there [event_name : dog shows] going on near [place_name : new york city],recommendation_events,events,recommendation,58
729,i'd like a listing of all train ticket prices for this location please,i'd like a listing of all [transport_type : train] ticket prices for this location please,transport_query,query,transport,66
730,delete grocery shopping from my saturday schedule,delete grocery shopping from my [date : saturday] schedule,calendar_remove,remove,calendar,7
731,lower lights,lower lights,iot_hue_lightdim,hue_lightdim,iot,28
732,how can i cook pasta,how can i cook [food_type : pasta],cooking_recipe,recipe,cooking,11
733,cross out bread from shopping list,cross out bread from [list_name : shopping] list,lists_remove,remove,lists,37
734,look at my email,look at my email,email_query,query,email,15
735,my work schedule,my work schedule,calendar_query,query,calendar,6
736,broadcast a video in youtube,broadcast a video in [media_type : youtube],social_post,post,social,62
737,start reading that alan partridge book,[player_setting : start reading] that [audiobook_author : alan partridge] [media_type : book],play_audiobook,audiobook,play,44
738,entertainment news,[news_topic : entertainment] news,news_query,query,news,43
739,switch on the lights,switch on the lights,iot_hue_lighton,hue_lighton,iot,30
740,coach and fare,coach and fare,transport_ticket,ticket,transport,68
741,will it snow next week,will it [weather_descriptor : snow] [date : next week],weather_query,query,weather,70
742,tell me if an earthquake happens in the world,tell me if an [news_topic : earthquake] happens in the world,news_query,query,news,43
743,which is the best smartphone in two thousand and seventeen,which is the best smartphone in two thousand and seventeen,qa_factoid,factoid,qa,53
744,solve math issue,solve math issue,qa_maths,maths,qa,54
745,make a room darker,make a [house_place : room] darker,iot_hue_lightdim,hue_lightdim,iot,28
746,run music from this playlist,run music from this playlist,play_music,music,play,46
747,set up the following event in the calendar with the following people,set up the following event in the calendar with the following people,calendar_set,set,calendar,8
748,does my favorite restaurant do delivery,does my favorite [business_type : restaurant] do [order_type : delivery],takeaway_query,query,takeaway,65
749,add a note to attend,add a note to attend,calendar_set,set,calendar,8
750,what is the traffic this morning,what is the traffic this [timeofday : morning],transport_traffic,traffic,transport,69
751,schedule an event in my calendar for the pool party at jack's place this saturday,schedule an event in my calendar for the [event_name : pool party] at [place_name : jack's place] [date : this saturday],calendar_set,set,calendar,8
752,how many emails today,how many emails [date : today],email_query,query,email,15
753,what time is it in tokyo japan,what time is it in [place_name : tokyo] [place_name : japan],datetime_query,query,datetime,13
754,order a meal from a nice restaurant,order a meal from a nice [business_type : restaurant],takeaway_order,order,takeaway,64
755,what's on my to do list for today,what's on my [list_name : to do] list for [date : today],lists_query,query,lists,36
756,send email to marissa,send email to [person : marissa],email_sendemail,sendemail,email,17
757,please make a complaint to levis,please make a complaint to [business_name : levis],social_post,post,social,62
758,olly resume the two towers,olly [player_setting : resume] [audiobook_name : the two towers],play_audiobook,audiobook,play,44
759,set alarm on twenty fifth may at five pm,set alarm on [date : twenty fifth] [date : may] at [time : five pm],alarm_set,set,alarm,2
760,stock please,stock please,qa_stock,stock,qa,55
761,add this to a list,add this to a list,lists_createoradd,createoradd,lists,35
762,what was the last thing my mom said,what was the last thing my [relation : mom] said,social_query,query,social,63
763,the cosmos,the cosmos,general_quirky,quirky,general,21
764,remove item three,remove item three,lists_remove,remove,lists,37
765,i want to find emails from bob with the subject that contains the word meeting,i want to find emails from [person : bob] with the subject that contains the word meeting,email_query,query,email,15
766,give me low lighting in the kitchen,give me low lighting in the [house_place : kitchen],iot_hue_lightdim,hue_lightdim,iot,28
767,latest events,latest events,calendar_query,query,calendar,6
768,what is the schedule time of punjab mail to reach gwalior,what is the schedule time of [place_name : punjab] mail to reach [place_name : gwalior],transport_query,query,transport,66
769,remove my early alarms,remove my early alarms,alarm_remove,remove,alarm,1
770,i have a birthday on monday set the event,i have a [event_name : birthday] on [date : monday] set the event,calendar_set,set,calendar,8
771,can you please tell me the current weather condition,can you please tell me the current weather condition,weather_query,query,weather,70
772,turn wemo plug socket on,turn [device_type : wemo plug socket] on,iot_wemo_on,wemo_on,iot,33
773,tell me the story of ramanujan and his mathematical journey,tell me the story of [person : ramanujan] and his mathematical journey,qa_factoid,factoid,qa,53
774,set up uber,set up [transport_agency : uber],transport_taxi,taxi,transport,67
775,direct me towards nearest railway station,direct me towards nearest [place_name : railway station],transport_query,query,transport,66
776,what trending on twitter,what trending on [media_type : twitter],social_query,query,social,63
777,play the billboard top ten,play the billboard top ten,play_music,music,play,46
